rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
136,Tanzania,TAN,1101,1089,4,CAF,25/10/2018
146,Equatorial Guinea,EQG,1067,1086,5,CAF,25/10/2018
138,Rwanda,RWA,1092,1093,1,CAF,25/10/2018
139,Swaziland,SWZ,1088,1101,3,CAF,25/10/2018
140,Botswana,BOT,1081,1077,2,CAF,25/10/2018
137,Kosovo,KVX,1099,1092,1,UEFA,25/10/2018
142,Burundi,BDI,1074,1061,6,CAF,25/10/2018
143,Solomon Islands,SOL,1073,1073,1,OFC,25/10/2018
144,Hong Kong,HKG,1071,1076,1,AFC,25/10/2018
157,Tahiti,TAH,1020,1020,0,OFC,25/10/2018
141,Myanmar,MYA,1080,1092,3,AFC,25/10/2018
69,Saudi Arabia,KSA,1335,1334,3,AFC,29/11/2018
76,Belarus,BLR,1317,1307,2,UEFA,29/11/2018
76,China PR,CHN,1317,1317,1,AFC,29/11/2018
75,Uganda,UGA,1320,1306,4,CAF,29/11/2018
74,Syria,SYR,1322,1320,0,AFC,29/11/2018
72,South Africa,RSA,1325,1321,1,CAF,29/11/2018
72,Cabo Verde,CPV,1325,1338,4,CAF,29/11/2018
71,Panama,PAN,1326,1335,1,CONCACAF,29/11/2018
70,El Salvador,SLV,1327,1335,0,CONCACAF,29/11/2018
68,North Macedonia,MKD,1343,1338,0,UEFA,29/11/2018
56,Egypt,EGY,1393,1378,2,CAF,29/11/2018
66,Guinea,GUI,1354,1354,1,CAF,29/11/2018
65,Côte d'Ivoire,CIV,1356,1356,1,CAF,29/11/2018
64,Mali,MLI,1363,1352,2,CAF,29/11/2018
62,Honduras,HON,1369,1367,0,CONCACAF,29/11/2018
62,Slovenia,SVN,1369,1367,0,UEFA,29/11/2018
61,Burkina Faso,BFA,1371,1390,4,CAF,29/11/2018
60,Albania,ALB,1372,1372,0,UEFA,29/11/2018
59,Bolivia,BOL,1374,1376,0,CONMEBOL,29/11/2018
58,Finland,FIN,1378,1392,2,UEFA,29/11/2018
57,Ecuador,ECU,1382,1371,4,CONMEBOL,29/11/2018
78,Canada,CAN,1314,1310,2,CONCACAF,29/11/2018
67,Algeria,ALG,1347,1339,0,CAF,29/11/2018
79,United Arab Emirates,UAE,1309,1305,2,AFC,29/11/2018
104,Libya,LBY,1217,1210,1,CAF,29/11/2018
81,Lebanon,LBN,1296,1300,1,AFC,29/11/2018
55,Cameroon,CMR,1394,1408,4,CAF,29/11/2018
103,Haiti,HAI,1219,1216,0,CONCACAF,29/11/2018
101,Armenia,ARM,1222,1222,0,UEFA,29/11/2018
101,Mauritania,MTN,1222,1213,3,CAF,29/11/2018
100,Vietnam,VIE,1224,1220,2,AFC,29/11/2018
99,Palestine,PLE,1236,1233,0,AFC,29/11/2018
98,Faroe Islands,FRO,1238,1251,3,UEFA,29/11/2018
97,India,IND,1240,1245,0,AFC,29/11/2018
96,Estonia,EST,1242,1237,2,UEFA,29/11/2018
95,Uzbekistan,UZB,1251,1254,1,AFC,29/11/2018
94,Benin,BEN,1257,1277,7,CAF,29/11/2018
93,Qatar,QAT,1258,1248,3,AFC,29/11/2018
92,Trinidad and Tobago,TRI,1260,1263,1,CONCACAF,29/11/2018
91,Kyrgyz Republic,KGZ,1264,1268,1,AFC,29/11/2018
90,Israel,ISR,1265,1267,1,UEFA,29/11/2018
89,Georgia,GEO,1269,1265,3,UEFA,29/11/2018
88,Iraq,IRQ,1271,1270,1,AFC,29/11/2018
86,Cyprus,CYP,1276,1279,0,UEFA,29/11/2018
86,Luxembourg,LUX,1276,1287,2,UEFA,29/11/2018
85,Gabon,GAB,1277,1288,2,CAF,29/11/2018
84,Congo,CGO,1280,1277,3,CAF,29/11/2018
83,Oman,OMA,1291,1287,1,AFC,29/11/2018
82,Zambia,ZAM,1292,1308,5,CAF,29/11/2018
80,Curaçao,CUW,1306,1306,1,CONCACAF,29/11/2018
54,Jamaica,JAM,1404,1401,1,CONCACAF,29/11/2018
28,Ukraine,UKR,1482,1490,1,UEFA,29/11/2018
51,Ghana,GHA,1412,1407,1,CAF,29/11/2018
23,Senegal,SEN,1505,1501,2,CAF,29/11/2018
22,Austria,AUT,1509,1502,2,UEFA,29/11/2018
20,Peru,PER,1518,1530,0,CONMEBOL,29/11/2018
20,Poland,POL,1518,1523,1,UEFA,29/11/2018
19,Wales,WAL,1525,1538,1,UEFA,29/11/2018
18,Italy,ITA,1539,1533,1,UEFA,29/11/2018
17,Mexico,MEX,1540,1549,1,CONCACAF,29/11/2018
16,Germany,GER,1558,1555,2,UEFA,29/11/2018
14,Netherlands,NED,1560,1550,1,UEFA,29/11/2018
14,Sweden,SWE,1560,1548,3,UEFA,29/11/2018
13,Chile,CHI,1565,1568,0,CONMEBOL,29/11/2018
12,Colombia,COL,1575,1575,1,CONMEBOL,29/11/2018
11,Argentina,ARG,1582,1573,1,CONMEBOL,29/11/2018
10,Denmark,DEN,1589,1584,0,UEFA,29/11/2018
9,Spain,ESP,1591,1594,0,UEFA,29/11/2018
8,Switzerland,SUI,1599,1598,0,UEFA,29/11/2018
7,Uruguay,URU,1609,1617,1,CONMEBOL,29/11/2018
6,Portugal,POR,1614,1616,1,UEFA,29/11/2018
